service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3035_400483,1,1,1,1,1,1,1,20260308,20260613
3036_400484,1,1,1,1,1,1,1,20260614,20261212
3037_400485,1,1,1,1,1,1,1,20260303,20260307
3038_400486,1,1,1,1,1,1,1,20260308,20260613
3039_400487,1,1,1,1,1,1,1,20260614,20261212
30_397026,1,1,1,1,1,1,1,20260308,20260613
3040_400488,1,1,1,1,1,1,1,20260303,20260307
3041_400489,1,1,1,1,1,1,1,20260308,20260613
3042_400490,1,1,1,1,1,1,1,20260614,20261212
3043_400491,1,1,1,1,1,1,1,20260614,20261212
304_397356,0,0,0,0,0,1,1,20260308,20260613
3044_400492,1,1,1,1,1,1,1,20260614,20261212
3045_400493,1,1,1,1,1,1,1,20260614,20261212
3046_400494,1,1,1,1,1,1,1,20260614,20261212
3047_400495,1,1,1,1,1,1,1,20260614,20261212
3048_400496,1,1,1,1,1,1,1,20260614,20261212
3049_400497,1,1,1,1,1,1,1,20260614,20261212
3050_400498,0,0,0,0,0,1,1,20260303,20260307
3051_400499,0,0,0,0,0,1,1,20260308,20260329
3052_400500,0,0,0,0,0,1,1,20260404,20260412
3053_400501,0,0,0,0,0,1,1,20260418,20260613
305_397357,0,0,0,0,0,1,1,20260614,20261212
3054_400502,0,0,0,0,0,1,1,20260614,20261212
3055_400503,1,1,1,1,1,0,0,20260303,20260306
3056_400504,1,1,1,1,1,0,0,20260309,20260612
3057_400505,1,1,1,1,1,0,0,20260615,20261211
3058_400506,1,1,1,1,1,0,0,20260303,20260306
3059_400507,1,1,1,1,1,0,0,20260309,20260612
3060_400508,1,1,1,1,1,0,0,20260615,20261023
3061_400509,1,1,1,1,1,0,0,20261026,20261211
3062_400510,0,0,0,0,0,1,1,20260303,20260307
3063_400511,0,0,0,0,0,1,1,20260308,20260613
306_397358,1,1,1,1,1,0,0,20260303,20260306
3064_400512,0,0,0,0,0,1,1,20260614,20261024
3065_400513,0,0,0,0,0,1,1,20261025,20261212
3066_400515,1,1,1,1,1,1,1,20260303,20260307
3067_400516,1,1,1,1,1,1,1,20260308,20260613
3068_400517,1,1,1,1,1,1,1,20260614,20261024
3069_400518,1,1,1,1,1,1,1,20261025,20261212
3070_400519,1,1,1,1,1,0,0,20260303,20260306
3071_400520,1,1,1,1,1,0,0,20260309,20260612
3072_400521,1,1,1,1,1,0,0,20260615,20261211
3073_400523,1,1,1,1,1,0,0,20260303,20260306
307_397359,1,1,1,1,1,0,0,20260309,20260612
3074_400524,0,0,0,0,0,1,1,20260303,20260307
3075_400526,0,0,0,0,0,1,1,20260308,20260613
3076_400527,1,1,1,1,1,0,0,20260309,20260612
3077_400528,0,0,0,0,0,1,1,20260614,20261212
3078_400529,1,1,1,1,1,0,0,20260615,20261211
3079_400531,1,1,1,1,1,1,1,20260303,20260307
3080_400533,1,1,1,1,1,1,1,20260308,20260613
3081_400534,1,1,1,1,1,1,1,20260614,20261212
3082_400537,1,1,1,1,1,1,1,20260303,20260307
3083_400539,1,1,1,1,1,1,1,20260308,20260613
308_397360,1,1,1,1,1,0,0,20260615,20261211
3084_400540,1,1,1,1,1,1,1,20260614,20261212
3085_400542,1,1,1,1,1,1,1,20260303,20260307
3086_400543,1,1,1,1,1,1,1,20260308,20260613
3087_400544,1,1,1,1,1,1,1,20260614,20261212
3088_400550,1,1,1,1,1,0,0,20260303,20260306
3089_400551,0,0,0,0,0,1,1,20260303,20260307
3090_400552,0,0,0,0,0,1,1,20260308,20260613
3091_400553,1,1,1,1,1,0,0,20260309,20260612
3092_400554,0,0,0,0,0,1,1,20260614,20261212
3093_400555,1,1,1,1,1,0,0,20260615,20261211
309_397361,1,1,1,1,1,1,1,20260303,20260307
3094_400557,1,1,1,1,1,1,1,20260303,20260307
3095_400558,1,1,1,1,1,1,1,20260308,20260406
3096_400559,1,1,1,1,1,1,1,20260407,20260613
3097_400560,1,1,1,1,1,1,1,20260614,20261212
3098_400562,1,1,1,1,1,1,1,20260303,20260307
3099_400563,1,1,1,1,1,1,1,20260308,20260406
3100_400564,1,1,1,1,1,1,1,20260407,20260412
3101_400565,1,1,1,1,1,1,1,20260413,20260417
3102_400566,1,1,1,1,1,1,1,20260418,20260613
3103_400567,1,1,1,1,1,1,1,20260614,20261212
310_397362,1,1,1,1,1,1,1,20260308,20260613
3104_400569,1,1,1,1,1,1,1,20260303,20260307
3105_400571,1,1,1,1,1,1,1,20260308,20260406
3106_400572,1,1,1,1,1,1,1,20260407,20260417
3107_400573,1,1,1,1,1,1,1,20260418,20260613
3108_400574,1,1,1,1,1,1,1,20260614,20261212
3109_400576,1,1,1,1,1,1,1,20260303,20260307
3110_400577,1,1,1,1,1,1,1,20260308,20260417
3111_400578,1,1,1,1,1,1,1,20260418,20260613
3112_400579,1,1,1,1,1,1,1,20260614,20261212
